locations,latitude,longitude,country
"Mayne Island, British Columbia",48.84438285,-123.28755177004035,Canada
"Port Crane, New York",42.1642428,-75.8335265,United States of America
", Illinois",40.0796606,-89.4337288,United States of America
"Seattle, Washington",47.6038321,-122.3300624,United States of America
"New Glarus, Wisconsin",42.8145157,-89.6338752,United States of America
"Rockville, Maryland",39.0840054,-77.1527573,United States of America
"Big Lake, Minnesota",45.3324647,-93.7460804,United States of America
"Saint Petersburg, Florida",27.7703796,-82.6695085,United States of America
"New York, New York",40.7127281,-74.0060152,United States of America
"Broussard, Louisiana",30.1471506,-91.9612413,United States of America
"Tilton, New Hampshire",43.44245,-71.588974,United States of America
"Grand Haven, Michigan",43.0630734,-86.2283864,United States of America
"Charlotte, North Carolina",35.2270869,-80.8431268,United States of America
"Easton, Pennsylvania",40.6916081,-75.2099866,United States of America
"Salt Lake City, Utah",40.7596198,-111.8867975,United States of America
"Frisco, Colorado",39.5744299,-106.0975196,United States of America
"Amherst, Wisconsin",44.4506775,-89.2845905,United States of America
"Squamish, British Columbia",49.6980743,-123.1558612,Canada
"Placentia, California",33.8714814,-117.8617337,United States of America
"Truckee, California",39.327962,-120.1832533,United States of America
"Miami, Florida",25.7742658,-80.1936589,United States of America
"Astoria, Oregon",46.187885,-123.831256,United States of America
"Tulsa, Oklahoma",36.1556805,-95.9929113,United States of America
"Redmond, Washington",47.6694141,-122.1238767,United States of America
"Collingwood, Ontario",44.5027226,-80.2172379,Canada
"Arlington, Washington",48.1810957,-122.1389548,United States of America
"San Marcos, California",33.1433723,-117.1661449,United States of America
"Minneapolis, Minnesota",44.9772995,-93.2654692,United States of America
"Milton, Delaware",38.7778787,-75.3100636,United States of America
"Austin, Texas",30.2711286,-97.7436995,United States of America
"Utica, New York",43.1009031,-75.2326641,United States of America
"Vista, California",33.2000368,-117.2425355,United States of America
"Barrington, New Hampshire",43.223191,-71.047211,United States of America
"Cooperstown, New York",42.7006303,-74.924321,United States of America
"Athens, Ohio",39.355589,,
"Chico, California",39.7284945,-121.8374777,United States of America
"Hamilton, Ontario",43.2560802,-79.8728583,Canada
"Tadcaster, North Yorkshire",53.8852975,-1.2595975,United Kingdom
"Raleigh, North Carolina",35.7803977,-78.6390989,United States of America
"Coopersburg, Pennsylvania",40.51146,-75.3903376,United States of America
"Charlton, Massachusetts",42.1348444,-71.9643153,United States of America
"Waterloo, Ontario",43.466874,-80.524635,Canada
"Oshkosh, Wisconsin",44.0206919,-88.5408574,United States of America
"Knoxville, Tennessee",35.9603948,-83.9210261,United States of America
"Stroudsburg, Pennsylvania",40.9864261,-75.1946649,United States of America
"Memphis, Tennessee",35.1490215,-90.0516285,United States of America
"Straubing, Bavaria",48.8819801,12.569716,Germany
"Trois-Rivières, Quebec",46.332706,-72.556458,Canada
"Somerset, Kentucky",37.0920222,-84.6041084,United States of America
"Timberville, Virginia",38.6390069,-78.7739112,United States of America
"Hackney, Greater London",51.5432402,-0.0493621,United Kingdom
"Poughkeepsie, New York",41.7065779,-73.9284101,United States of America
"Hyattsville, Maryland",38.9529442,-76.9408647,United States of America
"Weymouth, Massachusetts",42.2212188,-70.9391625,United States of America
"Davis, California",38.545379,-121.7445835,United States of America
"Columbus, Ohio",39.9622601,-83.0007065,United States of America
"Saltaire, West Yorkshire",53.8371089,-1.7906734,United Kingdom
"Vankleek Hill, Ontario",45.5196086,-74.6519669,Canada
"Aying, Bavaria",47.9700185,11.7787094,Germany
"Saint-Casimir, Quebec",46.656506,-72.139664,Canada
"Loveland, Ohio",39.2689562,-84.2638406,United States of America
"South Windsor, Connecticut",41.8489872,-72.5717551,United States of America
"Bayreuth, Bavaria",49.9427202,11.5763079,Germany
"Chambly, Quebec",45.4473898,-73.2932002,Canada
"Boise, Idaho",43.6166163,-116.200886,United States of America
"Garden City, Idaho",43.622111,-116.2381787,United States of America
"Leesburg, Virginia",39.1154496,-77.5645446,United States of America
"Aldermaston Stoke, Berkshire",,,
"Long Island City, New York",40.7415095,-73.9569751,United States of America
"Bloomington, Indiana",39.1670396,-86.5342881,United States of America
"Boulder, Colorado",,-105.2705456,
"Huddersfield, West Yorkshire",53.6466645,-1.7822482,United Kingdom
"Fairfield, New Jersey",40.2050878,-74.2135004,United States of America
"Hemel Hempstead, Hertfordshire",51.7511784,-0.472528,United Kingdom
"Neckarsulm, Baden-Württemberg",49.191735,9.2249443,Germany
"Darmstadt, Hesse",49.872775,8.651177,Germany
"Autenried (Ichenhausen), Bavaria",48.3648287,10.2531614,Germany
"Mason, Ohio",39.3600586,-84.309939,United States of America
"Erith, Greater London",51.4775613,0.1823013,United Kingdom
"Meschede-Grevenstein, North Rhine-Westphalia",51.3326845,8.1596644,Germany
"Cambridge, Ontario",43.3600536,-80.3123023,Canada
"Frome, Somerset",51.2270558,-2.3192971,United Kingdom
"Toronto, Ontario",43.6534817,-79.3839347,Canada
"Honiton, Devon",50.7981119,-3.1924599,United Kingdom
"Gaithersburg, Maryland",39.1434406,-77.2013705,United States of America
"Newcastle-upon-Tyne, Tyne & Wear",54.9738474,-1.6131572,United Kingdom
"Etobicoke, Ontario",43.671459150000004,-79.55249206611668,Canada
"Decorah, Iowa",43.3033056,-91.7857092,United States of America
"Burlington, Vermont",44.4762975,-73.2135472,United States of America
"Portland, Maine",43.6610277,-70.2548596,United States of America
"Stratford, Connecticut",41.1845415,-73.1331651,United States of America
"Zawiercie, Poland",50.4844382,19.433394,Poland
"Fargo, North Dakota",46.877229,-96.789821,United States of America
"Dallas, Texas",32.7762719,-96.7968559,United States of America
"Caledon, Ontario",43.875427,-79.858285,Canada
"Saint-Fulgence, Quebec",48.4503143,-70.9033899,Canada
"Richmond, Kentucky",37.7478572,-84.2946539,United States of America
"Oklahoma City, Oklahoma",35.4729886,-97.5170536,United States of America
"Hatfield, Pennsylvania",40.2796371,-75.2995777,United States of America
"Akron, Ohio",41.083064,-81.518485,United States of America
"Cheltenham, Gloucestershire",51.8995685,-2.0711559,United Kingdom
"Earsham, Norfolk",52.4502075,1.4172979,United Kingdom
"Charlottesville, Virginia",38.029306,-78.4766781,United States of America
"Indianapolis, Indiana",39.7683331,-86.1583502,United States of America
"Teisendorf, Bavaria",47.849038,12.8218357,Germany
"Montréal, Quebec",45.4972159,-73.6103642,Canada
"West Norwood, Greater London",51.4346192,-0.1036917,United Kingdom
"Tottenham Hale, Greater London",51.5881223,-0.0599366,United Kingdom
"Itterbeek, Belgium",51.156967,5.7919803,The Netherlands
"Freising, Bavaria",48.4008273,11.7439565,Germany
"North Wales, Pennsylvania",40.2109404,-75.2782317,United States of America
"Munster, Indiana",41.5644798,-87.5125412,United States of America
"Mannheim, Baden-Württemberg",49.489591,8.467236,Germany
"South Glens Falls, New York",43.299447,-73.635178,United States of America
"East Fishkill, New York",41.5533306,-73.7956214,United States of America
"Salford, Greater Manchester",53.4877463,-2.2891921,United Kingdom
"Hamburg , Hamburg",47.7630597,-99.51457,United States of America
"Bermondsey, Greater London",51.4970125,-0.063268,United Kingdom
"Cheshunt, Hertfordshire",51.702052,-0.0335908,United Kingdom
"Petting/Schönram, Bavaria",,,
"Ketchum, Idaho",43.680741,-114.363662,United States of America
"Ferndale, Michigan",42.4605917,-83.1346478,United States of America
"Freiburg im Breisgau, Baden-Württemberg",47.9960901,7.8494005,Germany
"Finchampstead, Berkshire",51.37490835,-0.8129636678949486,United Kingdom
"Aldersbach, Bavaria",48.5881793,13.0846579,Germany
"Barnes, Greater London",51.4718962,-0.2387441,United Kingdom
"Southport, Merseyside",53.6475988,-3.0041751,United Kingdom
"Bromyard, Herefordshire",52.1884704,-2.5107318,United Kingdom
"Paddington, Greater London",51.5170856,-0.1775422,United Kingdom
"East Peckham, Kent",51.2131511,0.3865789,United Kingdom
"Spencer, Massachusetts",42.2482063,-71.9938312,United States of America
"Versailles, Kentucky",38.052576,-84.7299464,United States of America
"Geldern, North Rhine-Westphalia",51.5169736,6.3228189,Germany
"Kirkbymoorside, North Yorkshire",54.2706507,-0.9323561,United Kingdom
"Sutton, Quebec",45.1109765,-72.6177899,Canada
"Skagen, Denmark",57.7259703,10.5844602,Denmark
"Zwiefalten, Baden-Württemberg",48.2331643,9.4614966,Germany
"Queens, New York",40.7498243,-73.7976337,United States of America
"Kelheim, Bavaria",48.9187285,11.8727886,Germany
"Berlin, Berlin",46.3785823,-98.4898183,United States of America
"Newburn, Tyne & Wear",54.983543,-1.7405072,United Kingdom
"West Acre, Norfolk",52.70588,0.6317901,United Kingdom
"Witney, Oxfordshire",51.7859366,-1.4850585,United Kingdom
"Portsmouth, New Hampshire",43.0717552,-70.7625532,United States of America
"Wolverhampton, West Midlands",52.5847651,-2.127567,United Kingdom
"Nottingham, Nottinghamshire",52.9534193,-1.1496461,United Kingdom
"Esher, Surrey",51.3693929,-0.3654406,United Kingdom
"Seeon, Bavaria",47.9765682,12.4598714,Germany
"Stuttgart, Baden-Württemberg",48.7784485,9.1800132,Germany
"Stowmarket, Suffolk",52.1878147,0.9973428,United Kingdom
"Mariendorf, Berlin",52.44008,13.3900277,Germany
"Walworth, Greater London",51.4901142,-0.0906603,United Kingdom
"Brighton , East Sussex",50.78357855,0.12148666117747367,United Kingdom
"Newcastle upon Tyne , Tyne & Wear",54.9738474,-1.6131572,United Kingdom
"North Bay  , Ontario",46.3092115,-79.4607617,Canada
"Timmins, Ontario",48.477473,-81.330414,Canada
"North Bay, Ontario",46.3092115,,
"Bakewell, Derbyshire",53.2148429,-1.6758613,United Kingdom
"Birmingham, Alabama",33.5206824,-86.8024326,United States of America
"Guelph, Ontario",43.5460516,-80.2493276,Canada
"Rulles, Belgium",49.7264021,5.6249973,Belgium
"Leyton, Greater London",51.5696734,-0.015681,United Kingdom
"Halifax, Nova Scotia",44.648618,-63.5859487,Canada
"Snetterton, Norfolk",52.4821011,0.9352583,United Kingdom
"Wanstead, Greater London",51.5756739,0.0277989,United Kingdom
"Zwönitz, Saxony",50.6301029,12.8131994,Germany
"Matane, Quebec",48.8468633,-67.5295977,Canada
"Saint-Jean-sur-Richelieu, Quebec",45.3056879,-73.2533401,Canada
"Seaham, Durham",54.8372106,-1.3355612,United Kingdom
"Cragg Vale, West Yorkshire",53.7050193,-1.998365,United Kingdom
"Markham, Ontario",43.854336,-79.326782,Canada
"Keswick, Cumbria",54.599899300000004,-3.1326786179762363,United Kingdom
"Clun, Shropshire",52.4211807,-3.0300584,United Kingdom
"Gravenhurst, Ontario",,-79.373131,
"Québec, Quebec",46.8259601,-71.2352226,Canada
"Nürnberg, Bavaria",49.453872,11.077298,Germany
"Chicoutimi, Quebec",48.3370248,-71.12352613559267,Canada
"Kincardine, Ontario",44.1776378,,
"Wellington, Ontario",43.7590121,-80.4614994,Canada
"Iisalmi, Finland",63.5567679,27.1892281,Finland
"Reading, Berkshire",51.456659,-0.9696512,United Kingdom
"Liverpool, Merseyside",53.4013379,,
"Hillier, Ontario",43.9740881,-77.455059,Canada
"Walthamstow, Greater London",51.5844701,-0.0188186,United Kingdom
"Purcellville, Virginia",39.1367717,-77.7147153,United States of America
"Morganton, North Carolina",35.7454291,-81.6870837,United States of America
"Perkasie, Pennsylvania",40.372048,,
"Picton, Ontario",44.0077172,,
"Bethnal Green, Greater London",51.5303456,-0.0561633,United Kingdom
"Gundelfingen , Bavaria",48.55214455,10.364145418379685,Germany
"Leyland, Lancashire",53.6904813,-2.6991336,United Kingdom
"Rambin auf Rügen, Mecklenburg-Vorpommern",,,
"München / Unterschleissheim, Bavaria",48.2817,11.5762984,Germany
"Herndon, Virginia",38.9695316,-77.3859479,United States of America
"Sint-Truiden, Belgium",50.8152784,5.1858896,Belgium
"Kingston, Ontario",44.230687,-76.481323,Canada
"Charlottetown, Prince Edward Island",46.2906776,-63.12947829366235,Canada
"Perth , Ontario",43.4935991,-81.0164111,Canada
"Ashton, Ontario",45.1567963,-76.0322649,Canada
"Lanark Highlands, Ontario",45.0875524,-76.48559826942638,Canada
"Hinesburg, Vermont",44.329251,-73.111267,United States of America
"Millvale, Pennsylvania",40.480069,-79.9783862,United States of America
"Deptford, Greater London",51.4758453,-0.0215164,United Kingdom
"Inglewood, California",33.9562003,-118.353132,United States of America
"Ellingen, Bavaria",49.0615224,10.9693369,Germany
"Battersea, Greater London",51.4707933,-0.172214,United Kingdom
"Braybrooke, Northamptonshire",52.4513484,-0.875906,United Kingdom
"Ipswich, Suffolk",52.0579495,1.1526345,United Kingdom
"Northfleet, Kent",51.4459453,0.3239669,United Kingdom
"Oettingen, Bavaria",48.9434729,10.601307292325565,Germany
", Norfolk",52.666667,1.0,United Kingdom
"Ertvelde, Belgium",51.178352950000004,3.7601413385807803,Belgium
"Norfolk, Virginia",36.8462923,-76.2929252,United States of America
"Los Angeles, California",34.0536909,-118.2427666,United States of America
"Southminster, Essex",51.6618541,0.8300674,United Kingdom
"Billings, Montana",45.7874957,-108.49607,United States of America
"Saint-Hyacinthe, Quebec",45.627484,-72.940636,Canada
"Mesilla, New Mexico",32.2741174,-106.7952056,United States of America
"Julian, California",33.078597,-116.6023154,United States of America
"Normal, Illinois",40.5117699,-88.9944815,United States of America
"Ashland, Oregon",42.1972487,-122.7153995,United States of America
"Melle, Belgium",51.00303,3.7988833,Belgium
"Vernon, British Columbia",50.268277,-119.267578,Canada
"Exeter, Devon",50.725562,-3.5269108,United Kingdom
"Redditch, Worcestershire",52.3057655,-1.9417444,United Kingdom
"Maidenhead, Berkshire",51.5237929,-0.7189899,United Kingdom
"Brighton, East Sussex",50.78357855,0.12148666117747367,United Kingdom
"Buxton, Derbyshire",53.2607853,-1.9131016,United Kingdom
"Bitburg, Rhineland-Palatinate",49.9732762,6.524947,Germany
"Sollefteå, Sweden",63.441664450000005,16.74939662345058,Sweden
"Pershore, Worcestershire",52.1096993,-2.0754758,United Kingdom
"Varel, Lower Saxony",53.395777,8.1372149,Germany
"Great Barton, Suffolk",52.2709279,0.770001,United Kingdom
"Borna, Saxony",51.1241649,12.4999055,Germany
"Kaufbeuren, Bavaria",47.8803788,10.622246,Germany
"Pipaix, Belgium",50.582865,3.575887,Belgium
"Elsendorf, Bavaria",48.7101182,11.8069746,Germany
"Hadnall, Shropshire",52.78025155,-2.718444083355344,United Kingdom
"Atherstone, Warwickshire",52.5772439,-1.5433954,United Kingdom
"Petaluma, California",38.270022,-122.60612241304348,United States of America
"Coralville, Iowa",41.6764044,-91.5804475,United States of America
"Alpine, Wyoming",43.161566,-111.01945677102535,
"Orange , California",33.7500378,-117.8704931,United States of America
"Berkeley, California",37.8708393,-122.2728639,United States of America
"Rochester, Minnesota",44.0234387,-92.4630182,United States of America
"Port Moody, British Columbia",49.2822243,-122.8293424,Canada
"Boardman, Oregon",45.839855,-119.7005834,United States of America
"Northville, Michigan",42.4310806,-83.4832262,United States of America
"Bloomington, Illinois",40.4731073,-88.9941403,United States of America
"Greensboro, Vermont",44.5768593,-72.2960634,United States of America
"New Westminster, British Columbia",49.2067726,-122.9108818,Canada
"Moorpark, California",34.285558,-118.8820414,United States of America
"Prineville, Oregon",44.2998261,-120.834972,United States of America
"Winter Garden, Florida",28.5502685,-81.59259746085962,United States of America
"Bracebridge, Ontario",45.041508,-79.310989,Canada
"Framingham, Massachusetts",42.2792625,-71.416172,United States of America
"Schiller Park, Illinois",41.9558637,-87.8708965,United States of America
"St Paul, Minnesota",44.9504037,-93.1015026,United States of America
"Long Beach, California",33.7690164,-118.1916048,United States of America
"McCall, Idaho",44.911006,-116.0987364,United States of America
"Cape May, New Jersey",39.1765386,-74.8012119,United States of America
"Maplewood, Missouri",38.6125521,-90.3245599,United States of America
"San Carlos, California",37.504936,-122.2618236,United States of America
"Cleveland, Ohio",41.5051613,-81.6934446,United States of America
"Santa Barbara, California",34.4221319,-119.7026673,United States of America
"Milwaukie, Oregon",45.4453901,-122.6392889,United States of America
"Parkersburg, West Virginia",39.2699565,-81.5506916,United States of America
"Kaltenberg, Bavaria",48.2237631,10.6454667,Germany
"Tokyo                      , Japan",35.6828387,139.7594549,Japan
"Dania Beach, Florida",26.050783950000003,-80.14612392627231,United States of America
"Seaforth, Ontario",43.5534328,-81.3934183,Canada
"Summerland, British Columbia",49.6,-119.666667,Canada
"Hood River, Oregon",45.7053101,-121.5217927,United States of America
"Sheffield, South Yorkshire",53.3806626,-1.4702278,United Kingdom
"Harrogate, North Yorkshire",53.9921491,-1.5391039,United Kingdom
"Walland, Tennessee",35.7281419,-83.8132305,United States of America
"Lye, West Midlands",52.4599417,-2.1160497,United Kingdom
"Grafing, Bavaria",48.0502855,11.9661337,Germany
"Abbotsford, British Columbia",49.0521162,-122.3294792,Canada
"Florissant, Missouri",38.7919683,-90.3227803,United States of America
"Ardmore, Pennsylvania",40.0067786,-75.2854622,United States of America
"Beamsville, Ontario",43.1654577,-79.4751839,Canada
"Gatineau, Quebec",45.4283596,-75.7106204,Canada
"Santa Rosa Beach, Florida",30.3466423,-86.2307992,United States of America
"Chatham , Ontario",42.4057219,-82.1853837,Canada
"Kelowna, British Columbia",49.889326,-119.498291,Canada
"Port Coquitlam, British Columbia",49.2621643,-122.7805425,Canada
"Würzburg, Bavaria",49.79245,9.932966,Germany
"Plover, Wisconsin",44.4563579,-89.544007,United States of America
"Tring, Hertfordshire",51.7940357,-0.6609205,United Kingdom
"Madison, Wisconsin",43.074761,-89.3837613,United States of America
"Hooksett, New Hampshire",43.096972,-71.465378,United States of America
"Polegate, East Sussex",50.8231619,0.245475,United Kingdom
"Charleston, West Virginia",38.3505995,-81.6332812,United States of America
"Bath, Somerset",51.3813864,-2.3596963,United Kingdom
"Ponderay, Idaho",48.3054806,-116.5338037,United States of America
"Trinidad, Colorado",37.169397,-104.5005411,United States of America
"Aston, Pennsylvania",39.87265415,-75.44054729049847,United States of America
"Livingston , New York",42.7360902,-77.7781416,United States of America
"Lakewood, New York",42.104224,-79.333104,United States of America
"Tampa, Florida",27.9477595,-82.458444,United States of America
"Halethorpe, Maryland",39.2398292,-76.6802471,United States of America
"Bend, Oregon",44.0581728,-121.3153096,United States of America
"Moorhead, Minnesota",46.8739081,-96.7538674,United States of America
"Greenville, South Carolina",34.851354,-82.3984882,United States of America
"Prescott, Arizona",34.5399962,-112.4687616,United States of America
"Divide, Colorado",38.9419356,-105.1572092,United States of America
"Rochdale, Greater Manchester",53.6153659,-2.1557561,United Kingdom
"Castleford, West Yorkshire",53.722353,-1.3512543,United Kingdom
"Holland, Michigan",42.7876022,-86.1090828,United States of America
"Kaltenburg, Lower Saxony",51.5072534,9.9615543,Germany
"Pilgrims Hatch, Essex",51.6401039,0.2871626,United Kingdom
"Beach Park, Illinois",42.4222435,-87.8572955,United States of America
"Berkeley Springs, West Virginia",39.6267975,-78.2279514,United States of America
"Waterloo, Illinois",38.3358857,-90.1498341,United States of America
"Allendale, Northumberland",54.8972605,-2.2590355,United Kingdom
"Waterford, Virginia",39.188317,-77.6115402,United States of America
"Green Bay, Wisconsin",44.5126379,-88.0125794,United States of America
"Derby, Connecticut",41.3223611,-73.0890324,United States of America
"Williamsburg, Virginia",37.27892105,-76.69448606443117,United States of America
"Kitchener, Ontario",43.453168,-80.494423,Canada
"Croydon, Greater London",51.3713049,-0.101957,United Kingdom
"Pender Island, British Columbia",48.7786931,-123.2816111,Canada
"Freeport, Maine",43.857307,-70.10376,United States of America
"Brossard, Quebec",45.4554829,-73.4678904,Canada
"South Burlington, Vermont",44.4669941,-73.1709604,United States of America
"Capitola, California",36.9762927,-121.9540577,United States of America
"Ponders End, Greater London",51.6428463,-0.0347837,United Kingdom
"Middleton, Greater Manchester",53.5484755,-2.1972661,United Kingdom
"Woodford, Northamptonshire",52.3819912,-0.5806142,United Kingdom
"Las Vegas, Nevada",36.1672559,-115.1485163,United States of America
"Bronx, New York",40.8466508,-73.8785937,United States of America
"Marengo, Ohio",40.4008945,-82.8107329,United States of America
"Pottsville, Pennsylvania",40.6851324,-76.1953701,United States of America
"Flookburgh, Cumbria",54.17438,-2.9737924,United Kingdom
"Canal Winchester, Ohio",39.842920500000005,-82.81594617222837,United States of America
"Tumwater, Washington",47.0080655,-122.9103689,United States of America
"Cricklewood, Greater London",51.5566986,-0.2157507,United Kingdom
"Fort Mcmurray, Alberta",56.7291997,-111.3885221,
"Beersel, Belgium",50.76837285,4.305109802911852,Belgium
"Penrith, Cumbria",54.6639133,-2.7522047,United Kingdom
"Chula Vista, California",32.6400541,-117.0841955,United States of America
"Falmouth, Cornwall",50.1552197,-5.0688262,United Kingdom
"Londonderry , New Hampshire",42.8650869,-71.3739532,United States of America
"Ocean, New Jersey",39.977818,-74.3319287,United States of America
"Houston, Texas",29.7589382,-95.3676974,United States of America
"South Molton, Devon",51.0170696,-3.8330599,United Kingdom
"Otterfing, Bavaria",47.9100294,11.6712434,Germany
"Rhinelander, Wisconsin",45.636623,-89.412075,United States of America
"Chapel Hill, North Carolina",35.9131542,-79.05578,United States of America
"Manchester, New Hampshire",42.9956397,-71.4547891,United States of America
"Frankfurt, Hesse",50.1106444,8.6820917,
"Manchester , New Hampshire",42.9956397,-71.4547891,United States of America
"Frelighsburg, Quebec",45.056061,-72.836609,Canada
"Solon, Iowa",41.8072344,-91.4940604,United States of America
"Anchorage, Alaska",61.2163129,-149.8948523,United States of America
"Ammerndorf, Bavaria",49.4219506,10.8516193,Germany
"Oberhausen, North Rhine-Westphalia",51.4696137,6.8514435,Germany
"Sheffield , South Yorkshire",53.3806626,-1.4702278,United Kingdom
"Cornelius, North Carolina",35.4817982,-80.8589501,United States of America
"Shoreham, Vermont",43.893687,-73.316231,United States of America
"Derry, New Hampshire",42.8808677,-71.3264492,United States of America
"Kansas City, Missouri",39.100105,-94.5781416,United States of America
"Walsall, West Midlands",52.5847949,-1.9822687,United Kingdom
"Ljubljana, Slovenia",46.0499803,14.5068602,Slovenia
"Oceanside, California",33.1958696,-117.3794834,United States of America
"Huntington Beach, California",33.6783336,-118.0000166,United States of America
"Plainfield, Indiana",39.7042123,-86.3994387,United States of America
"Montignies-sur-Roc, Belgium",50.3680079,3.7333223,Belgium
"Dortmund, North Rhine-Westphalia",51.5142273,7.4652789,Germany
"Temecula, California",33.4946353,-117.1473661,United States of America
"Erding, Bavaria",48.3064441,11.9076579,Germany
"Danville, California",37.8215929,-121.9999606,United States of America
"Alameda, California",37.6090291,-121.899142,United States of America
"Las Cruces, New Mexico",32.3140354,-106.7798078,United States of America
"Ellwangen, Baden-Württemberg",48.9615975,10.131975,Germany
"Novato, California",38.1061979,-122.5681191,United States of America
"Münster, North Rhine-Westphalia",51.9625101,7.6251879,Germany
"Lainate, Italy",45.5717302,9.028461,Italy
"Buffalo, Missouri",37.6439289,-93.0924093,United States of America
"Rongy , Belgium",50.50665205,3.3815632027096587,Belgium
"Sudbury, Suffolk",52.0401524,0.7299495,United Kingdom
"Shepton Mallet, Somerset",51.1909451,-2.5461298,United Kingdom
"Reedham, Norfolk",52.5596025,1.5659946,United Kingdom
"Kennebunk, Maine",43.384092,-70.545273,United States of America
"Rosenheim, Bavaria",47.8539273,12.127262,Germany
"Moos, Bavaria",48.7520542,12.9624718,Germany
"Miesbach, Bavaria",47.790025,11.8335417,Germany
"Buttenheim-Dreuschendorf, Bavaria",,,
